profile_id,u_q,coolant,u_d,motor_speed,i_d,i_q,ambient
24.0,10.27064037,19.42079926,-129.3374481,5499.951172,-201.2238922,64.79901123,24.28023911
,21.61820221,18.57580757,-129.0780792,5749.937988,-198.2936096,,25.52024651
68.0,-1.665131448,26.8483925,2.372027825,0.001173848,-2.000662449,1.095455587,27.98405082
70.0,-0.477554519,23.59314104,3.224837492,-0.001853214,-1.998094924,1.096560222,26.32984707
57.0,57.02373312,55.12638602,78.85534084,1690.463831,-52.9568894,-155.0212255,25.38036361
62.0,0.615330299,61.22196461,-0.479558761,0.003880602,-2.001310069,1.095969514,23.59513542
26.0,4.265342712,19.25319672,-130.8551331,3499.968994,-221.9851532,114.2940598,21.69473648
70.0,-1.795137122,29.07393401,1.950659872,-0.001122892,-2.000396496,1.095910058,26.02275575
27.0,71.28036499,18.67132759,-107.5639191,5749.950684,-162.9518738,51.90842438,22.58105278
50.0,78.03749818,39.74296269,105.9273529,2553.885488,-69.40578295,-132.9839188,26.03808145
12.0,83.10482025,18.77834702,-85.31164551,1999.981201,-43.51171494,132.6177216,23.34537697
15.0,131.8009033,18.75037193,-3.923018217,3999.952637,-67.92616272,1.106506109,24.71508598
41.0,0.45872896,24.37947959,2.929297558,0.002118267,-2.000772032,1.097172619,23.93282156
81.0,97.95495486,76.49174475,-0.239409511,2246.345271,-7.784540345,0.555009324,24.35982835
13.0,12.07723904,18.86603546,0.89427954,250.004303,-1.999793053,1.098272204,23.1804657
64.0,116.1368073,50.24415178,-56.00740442,3409.262649,-60.34660956,45.16726177,25.309794
27.0,92.39547729,18.69719887,-93.72962189,2249.967773,-40.16456223,126.0447769,24.89641571
76.0,-2.231418081,91.05950837,0.852332028,-0.007869314,-1.999860689,1.098561903,26.76418451
15.0,17.12798882,18.1746006,-130.344162,3999.955566,-207.694931,99.12677002,24.12960815
55.0,31.99877608,35.05190844,-126.3941345,2323.523348,-181.2362249,179.9148436,24.75720953
61.0,45.96012056,60.05700172,,,-111.4460863,-201.0977523,27.80241119
74.0,44.61579258,61.20116285,-97.00265065,1483.546861,-108.8093229,225.0253024,26.38450904
27.0,70.58022308,18.70977592,-108.0914917,5749.955078,-162.4507294,51.97655106,23.11962318
62.0,1.118277251,28.22154052,0.403410427,0.003057062,-1.99984404,1.096267055,23.94344367
19.0,57.30310059,19.18099022,-116.7198486,5999.937988,-167.7503204,52.51555252,25.4271946
9.0,85.52574158,18.37811089,-100.3501205,2499.972412,-75.75038147,123.3893127,24.79914474
27.0,24.38395119,19.01694489,-127.9937439,5849.938477,-190.6293335,59.44124603,25.73924828
2.0,4.124517918,18.50774384,1.473802447,100.0118332,-1.999759078,1.097211719,22.42615891
55.0,30.99571639,34.67417209,-16.63286281,646.2649869,-16.65871424,72.83434605,25.29929606
20.0,51.56108475,32.78905106,-121.1872025,3299.963379,-150.8379059,109.5819702,26.41417885
45.0,107.1790032,86.09039203,-75.89961441,3499.971985,-74.87589952,61.1665183,24.89037137
2.0,4.059114933,18.302351,1.437942505,100.0501709,-2.001638889,1.095314264,22.69670486
45.0,94.27985542,86.09827635,-90.84961775,4499.961068,-116.3360888,55.94729332,24.12113313
23.0,131.7577362,23.14199448,-3.031224728,3499.964111,-45.35028076,1.168191314,23.25810432
53.0,-0.226964347,39.30017838,1.839911044,87.70502814,-36.01665208,-120.7477288,26.69019232
57.0,43.69822839,55.0609879,-9.017361058,910.5301912,-4.352707844,26.21358492,25.59390659
6.0,85.87549591,64.83784485,-98.88491058,4999.938965,-132.2308502,54.19120789,26.39052963
53.0,54.07743092,60.02096432,-118.9283746,2566.591611,-135.2655202,147.0818425,27.74062264
30.0,55.99602509,18.64110947,-77.14568329,1449.987915,-65.98143768,172.9996948,21.55883026
21.0,27.55430412,19.40066338,-128.0682068,4499.95752,-191.3794403,82.94025421,21.77404213
31.0,119.4881287,18.83055115,-51.955513,5649.946289,-119.292511,22.70268059,22.41143417
74.0,53.21282095,41.00164918,87.30935549,1694.439866,-61.82670983,-172.3148898,26.36983828
29.0,28.34007072,19.17219543,-127.7752457,4629.960449,-191.1650238,79.74676514,23.73470497
68.0,102.601526,83.23017579,76.15779975,4773.049108,-110.0508438,-52.27464671,27.6442458
,63.07421112,19.31159019,-64.44112396,1499.992432,-43.51253128,,23.34204674
9.0,86.60681915,19.35604286,-99.44609833,2499.978516,-75.40232849,123.5372238,23.36486244
27.0,29.97231674,19.05992317,-127.6840973,4749.949219,-191.2820282,77.85140991,24.09274864
70.0,-0.863539853,81.48964234,3.198568567,0.642578349,-2.009248161,1.062100269,25.98856681
32.0,120.9333496,19.03001213,-52.17909622,3103.972656,-43.94419861,46.10843277,21.60234833
27.0,53.10278702,18.47789574,-35.64830399,1149.982788,-23.01615906,90.02079773,23.24557304
70.0,2.192946128,45.59633717,2.38114619,50.51913883,-1.999393216,1.096950073,26.10651705
23.0,20.19345665,20.24174881,-129.7259064,3499.960938,-214.819519,119.4688644,20.07788658
