iter	RMSE
0	14.64015309
1	11.78549028
2	10.67510297
3	10.12483951
4	9.746213993
5	9.45162693
6	9.102231192
7	8.925364091
8	8.782780084
9	8.515907114
10	8.337319319
11	8.157384222
12	7.985427166
13	7.902080333
14	7.754801874
15	7.62424137
16	7.522145179
17	7.391724642
18	7.278858777
19	7.196903372
20	7.139009396
21	7.07169989
22	6.965922813
23	6.880313288
24	6.805410267
25	6.725188074
26	6.661350349
27	6.597470102
28	6.472680792
29	6.394035034
30	6.364526089
31	6.323984808
32	6.264003972
33	6.215934766
34	6.147455163
35	6.107720978
36	6.043110081
37	6.009415442
38	5.950322635
39	5.885368897
40	5.855738832
41	5.827971274
42	5.769710665
43	5.738411576
44	5.697989865
45	5.663475471
46	5.630274886
47	5.578334689
48	5.551113951
49	5.521587591
50	5.488345892
51	5.449909536
52	5.41494699
53	5.393705059
54	5.349130925
55	5.328309759
56	5.302684248
57	5.266597887
58	5.239785701
59	5.220505712
60	5.195067081
61	5.17468162
62	5.136004282
63	5.10315653
64	5.081675866
65	5.047076423
66	5.02429183
67	5.001584989
68	4.98786456
69	4.973887863
70	4.946257513
71	4.928178765
72	4.89953432
73	4.875311859
74	4.853431917
75	4.83927298
76	4.828796633
77	4.809045429
78	4.795830551
79	4.786291515
80	4.760579987
81	4.737745985
82	4.727706686
83	4.716061032
84	4.698326013
85	4.685774469
86	4.670403622
87	4.657905616
88	4.62156979
89	4.606742385
90	4.590570341
91	4.583307067
92	4.572019788
93	4.560514108
94	4.548765453
95	4.536891053
96	4.521058444
97	4.512783574
98	4.497431005
99	4.476473264
