iter	Passed	Remaining
0	161	15986
1	168	8280
2	177	5723
3	184	4422
4	192	3657
5	199	3129
6	209	2778
7	216	2488
8	224	2269
9	233	2098
10	240	1949
11	249	1827
12	257	1723
13	265	1629
14	274	1555
15	282	1484
16	291	1420
17	299	1363
18	308	1315
19	317	1270
20	326	1226
21	334	1186
22	344	1152
23	353	1118
24	361	1085
25	371	1056
26	380	1027
27	389	1000
28	398	974
29	408	954
30	416	927
31	426	905
32	434	882
33	443	861
34	453	841
35	461	819
36	469	800
37	478	781
38	488	763
39	496	745
40	506	728
41	514	710
42	523	694
43	532	678
44	541	661
45	550	646
46	559	630
47	568	615
48	577	600
49	586	586
50	594	571
51	605	558
52	615	545
53	624	532
54	634	518
55	642	504
56	651	491
57	660	478
58	669	465
59	678	452
60	687	439
61	696	426
62	705	414
63	715	402
64	724	390
65	734	378
66	743	366
67	753	354
68	762	342
69	771	330
70	781	319
71	790	307
72	800	295
73	809	284
74	818	272
75	826	261
76	835	249
77	845	238
78	854	227
79	863	215
80	872	204
81	882	193
82	890	182
83	899	171
84	909	160
85	919	149
86	928	138
87	937	127
88	947	117
89	958	106
90	967	95
91	977	84
92	986	74
93	996	63
94	1006	52
95	1016	42
96	1026	31
97	1035	21
98	1045	10
99	1055	0
